expert.level,country,ASA.Class,Apfel.Score,NYHA.Score,ARISCAT.Score,rRCI,POSPOM,method.future.evaluation,who.obtains,online.legal,online.possible.internet,online.possible.telefon,lack of contact,impossible to observe behavior,no relation,no confidence,legal requirenments,unsure if illigal,no anamnestic info,Less stressful,Less waiting,Standardized questionaires,More efficient than face-to-face,Obtain.both.parents.complex,Obtain.both.parents.simple,parents.legal.online,id.card,id.card.needed
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,Yes,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,No,Yes
Consultant,Latvia,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,Yes,Different (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",Different (please commment),Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Resident,No,Different (please comment),Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Different (please commment),Yes
Consultant,Romania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),Different (please commment),Yes,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via patient´s self assessment,Resident,Yes,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,"Just the one, who is present",Different (please comment),No,Yes,Yes
Consultant,Netherlands,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,Yes,Different (please commment),Yes
Resident,Denmark,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),No,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Netherlands,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Consultant,I do not know,Different (please comment),Different (please comment),Not selected,Not selected,Yes,Not selected,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Always both parents,Always both parents,Different (please commment),No,Yes
Consultant,Germany,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
Consultant,France,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Always both parents,Always both parents,Yes,Yes,Yes
Consultant,Belgium,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Not selected,Yes,Always both parents,Always both parents,No,Yes,Yes
Consultant,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Other,Yes,Yes,Yes,Yes,Not selected,Yes,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Different (please comment),Different (please comment),No,Yes,Yes
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,Yes
Resident,Netherlands,Yes,Not selected,Yes,Yes,Not selected,Not selected,online via patient´s self assessment,Resident,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Always both parents,Always both parents,Yes,No,No
Consultant,Croatia,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,No,No (please comment),No (please comment),Yes,Not selected,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Special trained nurse,I do not know,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Anaesthesia technician,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,Yes,No,Yes
Resident,Italy,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,No
Other,Austria,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Slovenia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,NA,NA,NA,NA,NA
Consultant,Austria,Yes,Yes,Yes,Not selected,Not selected,Not selected,NA,Consultant,I do not know,Yes,Different (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,No
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Special trained nurse,No,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Sweden,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Different (please comment),NA,NA,NA,NA
Other,Greece,Yes,Yes,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Consultant,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",Different (please commment),No,No
Consultant,Belgium,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Resident,I do not know,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Always both parents,Always both parents,Different (please commment),No,No
Resident,Germany,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Yes,Always both parents,Always both parents,Yes,No,No
Consultant,Denmark,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Different (please comment),Different (please comment),Different (please commment),No,No
Consultant,Portugal,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Spain,Yes,Yes,Yes,Yes,Not selected,Yes,online via videoconference,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Always both parents,Always both parents,Yes,Yes,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Different (please comment),Different (please comment),Yes,No,No
Resident,Sweden,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Netherlands,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via patient´s self assessment,Resident,No,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Denmark,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Special trained nurse,Yes,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Poland,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Denmark,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,Different (please comment),Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Consultant,No,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,Different (please commment)
Consultant,Ireland,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Consultant,Yes,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Different (please commment)
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Italy,Yes,Not selected,Yes,Yes,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Portugal,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present",Different (please comment),Different (please commment),Yes,Yes
Consultant,Denmark,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,Italy,Yes,Not selected,Yes,Yes,Not selected,Not selected,in person,Resident,Yes,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Always both parents,Always both parents,Different (please commment),No,Yes
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Spain,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Special trained nurse,I do not know,Yes,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,other,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Netherlands,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Special trained nurse,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Consultant,Austria,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Italy,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Luxembourg,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,"Just the one, who is present",No,No,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Portugal,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Romania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Netherlands,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,other,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Different (please comment),Different (please comment),Yes,No,No
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Consultant,No,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
